n|d,2,3,4,5,6,7,8,9,10,11,12
1,,,,,,,,,,,
2,0,,,,,,,,,,
3,0,0,,,,,,,,,
4,2,0,0,,,,,,,,
5,2,1,0,0,,,,,,,
6,4,1,0,0,0,,,,,,
7,4,1,0,0,0,0,,,,,
8,6,3,0,0,0,0,0,,,,
9,6,3,0,0,0,0,0,0,,,
10,8,4,2,0,0,0,0,0,0,,
11,8,5,2,1,0,0,0,0,0,0,
12,10,6,4,1,0,0,0,0,0,0,0
13,10,7,5,1,0,0,0,0,0,0,0
14,12,8,6,3,0,0,0,0,0,0,0
15,12,9,7,4,0,0,0,0,0,0,0
16,14,10,8,5,2,0,0,0,0,0,0
17,14,11,9,6,3,1,0,0,0,0,0
18,15,12,9,6,4,1,0,0,0,0,0
19,16,13,10,7,5,1,0,0,0,0,0
20,17,13,11,8,6,3,0,0,0,0,0
21,18,15,12,9,7,4,0,0,0,0,0
22,19,15,14,10,8,5,2,0,0,0,0
23,20,16,14,11,9,6,3,1,0,0,0
24,21,17,15,12,10,7,4,1,0,0,0
25,21,18,16,13,11,8,5,1,0,0,0
26,22,19,17,14,12,9,6,3,0,0,0
27,23,20,18,15,12,10,6,4,0,0,0
28,24,21,19,15,14,11,9,5,2,1,1
29,25,21,20,16,14,11,9,5,3,2,2
30,26,22,21,17,15,12,10,7,4,4,3
31,27,23,21,18,16,13,11,8,5,4,4
32,28,24,22,19,17,14,12,9,7,5,5
33,29,25,23,20,18,15,13,10,8,6,6
34,30,26,24,21,19,16,14,11,9,7,7
35,31,27,25,22,20,17,15,12,10,8,8
36,32,27,26,23,21,17,16,13,10,10,9
37,33,28,27,23,21,18,16,13,12,10,10
38,34,29,28,24,22,19,17,14,12,11,11
39,34,30,29,25,23,20,18,15,14,13,13
40,35,31,29,26,24,21,19,16,14,13,13
41,36,32,30,27,25,22,20,18,16,15,15
42,37,33,31,28,26,23,21,18,16,15,15
43,38,34,32,28,27,24,22,19,17,17,17
44,39,35,33,29,28,24,23,20,18,18,18
45,40,36,34,30,29,25,23,20,19,18,18
46,41,37,35,31,29,26,25,22,20,20,20
47,42,37,36,32,30,27,25,22,20,20,20
48,43,38,37,33,31,28,25,23,21,21,21
49,44,39,38,34,32,30,25,25,25,25,25
50,45,40,38,35,33,30,25,25,25,25,25
51,46,41,39,35,34,30,25,25,25,25,25
52,46,42,40,36,35,31,25,25,25,25,25
53,47,43,41,37,36,32,31,28,28,28,28
54,48,44,42,38,37,33,31,31,31,31,31
55,49,44,43,39,37,34,32,31,31,31,31
56,50,45,44,40,38,35,33,31,31,31,31
57,51,46,45,41,39,36,34,31,31,31,31
58,52,47,46,42,40,36,35,32,32,32,32
59,53,48,46,43,41,37,35,32,32,32,32
60,54,49,47,43,42,38,37,34,34,34,34
61,55,50,48,44,43,39,37,34,34,34,34
62,56,51,49,45,44,40,39,36,36,36,36
63,56,52,50,46,44,41,39,36,36,36,36
64,57,52,51,47,45,42,41,41,41,41,41
65,58,53,52,48,46,43,41,41,41,41,41
66,59,54,53,49,47,43,42,42,42,42,42
67,60,55,54,50,48,44,43,42,42,42,42
68,61,56,55,50,49,45,44,42,42,42,42
69,62,57,55,51,50,46,44,42,42,42,42
70,63,58,56,52,51,47,45,45,45,45,45
71,64,59,57,53,51,48,46,45,45,45,45
72,65,60,58,54,52,49,48,45,45,45,45
73,66,60,59,55,53,49,48,46,46,46,46
74,67,61,60,56,54,50,49,49,49,49,49
75,67,62,61,57,55,51,51,50,50,50,50
76,68,63,62,57,56,52,52,50,50,50,50
77,69,64,63,58,57,53,53,50,50,50,50
78,70,65,63,59,58,54,54,54,54,54,54
79,71,66,64,60,59,56,55,55,55,55,55
80,72,67,65,61,59,56,55,55,55,55,55
81,73,68,66,62,60,57,55,55,55,55,55
82,74,68,67,63,61,58,57,57,57,57,57
83,75,69,68,64,62,58,57,57,57,57,57
84,76,70,69,65,63,59,59,59,59,59,59
85,77,71,70,65,64,60,60,60,60,60,60
86,78,72,71,66,65,61,60,60,60,60,60
87,78,73,71,67,66,62,60,60,60,60,60
88,79,74,72,68,67,63,62,62,62,62,62
89,80,75,73,69,67,64,62,62,62,62,62
90,81,76,74,70,68,64,63,63,63,63,63
91,82,77,75,71,69,65,64,64,64,64,64
92,83,77,76,72,70,66,66,66,66,66,66
93,84,78,77,72,71,67,66,66,66,66,66
94,85,79,78,73,73,68,68,68,68,68,68
95,86,80,79,74,73,69,69,69,69,69,69
96,87,81,80,75,74,70,70,70,70,70,70
97,88,82,80,76,74,71,70,70,70,70,70
98,89,83,81,77,75,72,72,72,72,72,72
99,89,84,82,78,76,72,72,72,72,72,72
100,90,85,83,79,77,77,77,77,77,77,77
